# gold-1-counts 247 vs 246 SendFeedback / feedbackDrafts

same 246=18 247=18 "SendFeedback"
  246#0 offset=196629434 kind=tbl run=113 jsScore=2
  246#1 offset=196629558 kind=tbl run=94 jsScore=1
  246#2 offset=198427640 kind=tbl run=12 jsScore=3
  246#3 offset=200754272 kind=tbl run=45 jsScore=4
  246#4 offset=200754364 kind=tbl run=38 jsScore=0
  246#5 offset=202169880 kind=tbl run=59 jsScore=2
  246#6 offset=202170109 kind=tbl run=304 jsScore=0
  246#7 offset=202433768 kind=tbl run=214 jsScore=4
  246#8 offset=205478162 kind=js run=207478 jsScore=8
  246#9 offset=205478445 kind=js run=207478 jsScore=8
  246#10 offset=205569130 kind=tbl run=207478 jsScore=6
  246#11 offset=206426907 kind=js run=139238 jsScore=9
  246#12 offset=213778106 kind=tbl run=6796973 jsScore=0
  246#13 offset=215149786 kind=js run=6796973 jsScore=32
  246#14 offset=215155951 kind=js run=6796973 jsScore=28
  246#15 offset=215156106 kind=js run=6796973 jsScore=10
  246#16 offset=229885820 kind=js run=8327 jsScore=8
  246#17 offset=229885936 kind=tbl run=8327 jsScore=1
  247#0 offset=199046306 kind=tbl run=113 jsScore=2
  247#1 offset=199046430 kind=tbl run=94 jsScore=1
  247#2 offset=199967708 kind=tbl run=12 jsScore=3
  247#3 offset=202344428 kind=tbl run=45 jsScore=4
  247#4 offset=202344520 kind=tbl run=38 jsScore=0
  247#5 offset=203777980 kind=tbl run=59 jsScore=2
  247#6 offset=203778209 kind=tbl run=304 jsScore=0
  247#7 offset=204050220 kind=tbl run=214 jsScore=4
  247#8 offset=206781467 kind=js run=216008 jsScore=8
  247#9 offset=206781750 kind=js run=216008 jsScore=8
  247#10 offset=206879724 kind=tbl run=216008 jsScore=6
  247#11 offset=208027831 kind=js run=140241 jsScore=9
  247#12 offset=215156371 kind=tbl run=6912445 jsScore=0
  247#13 offset=216531371 kind=js run=6912445 jsScore=32
  247#14 offset=216537536 kind=js run=6912445 jsScore=28
  247#15 offset=216537691 kind=js run=6912445 jsScore=10
  247#16 offset=232016147 kind=js run=8327 jsScore=8
  247#17 offset=232016263 kind=tbl run=8327 jsScore=1
same 246=26 247=26 "feedbackDrafts"
  246#0 offset=195658416 kind=tbl run=35 jsScore=0
  246#1 offset=196597460 kind=tbl run=14 jsScore=0
  246#2 offset=196630244 kind=tbl run=49 jsScore=1
  246#3 offset=200219804 kind=tbl run=93 jsScore=1
  246#4 offset=200219904 kind=tbl run=38 jsScore=1
  246#5 offset=200220296 kind=tbl run=37 jsScore=2
  246#6 offset=200220340 kind=tbl run=39 jsScore=1
  246#7 offset=206426815 kind=tbl run=139238 jsScore=6
  246#8 offset=206538603 kind=tbl run=52853 jsScore=6
  246#9 offset=215139326 kind=js run=6796973 jsScore=23
  246#10 offset=215139472 kind=js run=6796973 jsScore=24
  246#11 offset=215142052 kind=js run=6796973 jsScore=24
  246#12 offset=215142199 kind=js run=6796973 jsScore=22
  246#13 offset=215142407 kind=js run=6796973 jsScore=20
  246#14 offset=215142778 kind=js run=6796973 jsScore=16
  246#15 offset=215147676 kind=js run=6796973 jsScore=30
  246#16 offset=215148165 kind=js run=6796973 jsScore=34
  246#17 offset=215148212 kind=js run=6796973 jsScore=20
